Organism Name,# of essential genes,NCBI Taxonomy ID
Cyanothece sp. PCC7425,705,395961
Cyanothece sp. PCC7822,748,497965
Cyanothece sp. PCC8801,393,41431
Cycloclasticus zancles,199,1198232
Cylindrospermopsis raciborskii,970,533240
Cylindrospermum stagnale,715,56107
Cystobacter fuscus,1782,1242864
Dactylococcopsis salina,315,13035
Dactylosporangium aurantiacum,2758,35754
Dasania marina,1128,1121374
Dechloromonas agitata,958,1304883
Dechloromonas aromatica,975,159087
Dechlorosoma suillum,880,640081
Deferribacter desulfuricans,330,639282
Deferrisoma camini,952,1125863
Defluviimonas sp. 20V17,1135,1417296
Deinococcus apachensis,764,1121377
Deinococcus aquatilis,882,1121378
Deinococcus deserti,296,546414
Deinococcus frigens,847,1121380
Deinococcus geothermalis,363,319795
Deinococcus gobiensis,357,745776
Deinococcus maricopensis,450,709986
Deinococcus marmoris,827,1121381
Deinococcus misasensis,1079,1121382
Deinococcus peraridilitoris,481,937777
Deinococcus phoenicis,670,1476583
Deinococcus pimensis,994,926554
Deinococcus proteolyticus,201,693977
Deinococcus radiodurans,327,243230
Deinococcus sp. 2009,754,684949
Deinococcus sp. RL,416,1489678
Deinococcus sp. YIM77859,592,1540221
Deinococcus wulumuqiensis,497,1288484
Delftia acidovorans,1099,398578
Demetria terragena,639,1121385
Denitrovibrio acetiphilus,623,522772
Dermabacter sp. HFH0086,110,1203568
Dermacoccus nishinomiyaensis,234,1274
Dermacoccus sp. Ellin185,499,188626
Desulfarculus baarsii,615,644282
Desulfatibacillum alkenivorans,1090,439235
Desulfobacca acetoxidans,379,880072
Desulfobacter curvatus,1271,1121396
Desulfobacter postgatei,849,879212
Desulfobacterium autotrophicum,1181,177437
Desulfobacula sp. TS,1702,1232437
Desulfobulbus japonicus,1211,1121403
Desulfocapsa sulfexigens,700,1167006
Desulfococcus multivorans,699,1121405
Desulfococcus oleovorans,625,96561
Desulfocurvus vexinensis,900,1121406
Desulfohalobium retbaense,350,485915
Desulfomicrobium baculatum,743,525897
Desulfomonile tiedjei,1268,706587
Desulfonatronospira thiodismutans,634,555779
Desulfonatronovibrio hydrogenovorans,683,1121413
Desulfonauticus sp. A7A,119,1379281
Desulforegula conservatrix,1202,1304885
Desulfosarcina sp. BuS5,757,933262
Desulfospira joergensenii,1624,1265505
Desulfotalea psychrophila,540,177439
Desulfovibrio acrylicus,739,1121434
Desulfovibrio aespoeensis,716,643562
Desulfovibrio africanus,836,690850
Desulfovibrio alaskensis,663,207559
Desulfovibrio alcoholivorans,1381,1121438
Desulfovibrio alkalitolerans,816,1121439
Desulfovibrio aminophilus,936,1121440
Desulfovibrio bastinii,932,1121441
Desulfovibrio desulfuricans ATCC27774,254,525146
Desulfovibrio desulfuricans DSM642,610,1121445
Desulfovibrio desulfuricans ND132,781,641491
Desulfovibrio frigidus,1088,1121447
Desulfovibrio fructosivorans,1323,596151
Desulfovibrio gigas,890,1121448
Desulfovibrio hydrothermalis,718,1121451
Desulfovibrio longus,807,1121456
Desulfovibrio magneticus IFRC170,1221,1304872
Desulfovibrio magneticus RS1,1136,573370
Desulfovibrio oxyclinae,817,1121459
Desulfovibrio piezophilus,761,1322246
Desulfovibrio piger,223,411464
Desulfovibrio salexigens,904,526222
Desulfovibrio sp. 31syn3,591,457398
Desulfovibrio sp. 6146AFAA,666,665942
Desulfovibrio sp. FW1012B,1179,644968
Desulfovibrio sp. L21SyrAB,931,1307759
Desulfovibrio sp. U5L,1284,596152
Desulfovibrio sp. X2,990,941449
Desulfovibrio vulgaris Hildenborough,604,882
Desulfovibrio vulgaris Miyazaki,166,883
Desulfurella acetivorans,249,694431
Desulfurivibrio alkaliphilus,542,589865
Desulfuromonas sp. TF,1183,1232410
Devosia sp. 172E8,1075,1535287
Devosia sp. LC5,777,1502724
Dichelobacter nodosus,151,246195
Dickeya dadantii 3937,710,198628
Dickeya dadantii Ech586,686,590409
Dickeya dadantii Ech703,644,579405
Dickeya sp. 2B12,941,1577887
Dickeya sp. DW 0440,901,1225785
Dickeya sp. NCPPB569,880,568768
Dickeya zeae,717,561229
Dietzia alimentaria,763,1077144
Dietzia sp. UCDTHP,719,1292020
Dinoroseobacter shibae,491,398580
Diplosphaera colitermitum,568,278957
Donghicola xiamenensis,1227,1121479
Dongia sp. URHE0060,1714,1380391
Dyella ginsengisoli,1027,1234364
Ectothiorhodospira sp. PHS1,670,519989
Edwardsiella hoshinae,589,1216966
Edwardsiella tarda ATCC15947,740,667121
Eggerthella lenta,491,479437
Eggerthella sp. YY7918,303,502558
Ehrlichia canis,114,269484
Ehrlichia chaffeensis,105,205920
Ehrlichia ruminantium,106,254945
Ehrlichia sp. HF,101,391036
Eikenella corrodens ATCC23834,240,546274
Elioraea tepidiphila,708,1121861
Endolissoclinum faulkneri L2,134,1193729
Endolissoclinum faulkneri L5,129,1401328
endosymbiont of Acanthamoeba,101,86106
endosymbiont of Tevnia,977,1049564
Endozoicomonas elysicola,942,305900
Endozoicomonas montiporae,764,1027273
Endozoicomonas numazuensis,888,1137799
Enhydrobacter aerosaccus,348,553217
Enhygromyxa salina,1979,215803
Enorma massiliensis,326,1118060
Ensifer sojae,1043,716928
Ensifer sp. BR816,1783,1057002
Ensifer sp. TW10,1049,1353531
Ensifer sp. WSM1721,1463,1041159
Enterobacter aerogenes,800,1028307
Enterobacter asburiae LF7a,800,640513
Enterobacter cloacae ATCC13047,749,716541
Enterobacter cloacae EcWSU1,1310,1045856
Enterobacter cloacae JD6301,1174,1399774
Enterobacter lignolyticus,812,701347
Enterobacter sp. 638,681,399742
Enterobacter sp. R4368,904,1166130
Enterobacteriaceae bacterium B14,675,1214065
Enterobacteriaceae bacterium LSJC7,947,1224136
Enterobacteriaceae bacterium strain,728,693444
Enterorhabdus caecimuris,227,1235794
Enterorhabdus mucosicola,478,1121866
Enterovibrio calviensis,1483,1190606
Enterovibrio norvegicus,1378,1190603
Erwinia amylovora,585,665029
Erwinia billingiae,770,634500
Erwinia pyrifoliae,535,634499
Erwinia tasmaniensis,616,465817
Erwinia typographi,1283,371042
Erythrobacter litoralis,259,314225
Erythrobacter longus,516,1044
Erythrobacter sp. JL475,396,383381
Erythrobacter sp. NAP1,496,237727
Erythrobacter sp. SD21,619,161528
Erythrobacter vulgaris,370,291985
Escherichia albertii KF1,787,1440052
Escherichia albertii TW07627,973,502347
Escherichia coli 536,900,362663
Escherichia coli ATCC8739,785,481805
Escherichia coli BL21,752,469008
Escherichia coli CFT073,900,199310
Escherichia coli K12 MG1655,790,511145
Escherichia coli O157H7,914,155864
Escherichia hermannii,1128,1115512
Escherichia sp. TW09308,1145,754331
Escherichia vulneris,1161,1115515
Ewingella americana,1204,910964
Falsirhodobacter sp. alg1,667,1472418
Fangia hongkongensis,275,1089439
Ferrimicrobium acidiphilum,270,1121877
Ferrimonas balearica,771,550540
Ferrimonas futtsuensis,1019,1121878
Ferriphaselus sp. R1,393,1485544
Fibrobacter succinogenes,257,59374
filamentous cyanobacterium,430,1128427
Fischerella muscicola,1159,306281
Fischerella sp. PCC9339,1833,1174528
Fischerella sp. PCC9431,1513,1173023
Fischerella sp. PCC9605,1124,1173024
Fischerella thermalis,1333,98439
Flexistipes sinusarabici,290,717231
Fluoribacter dumoffii,772,1094715
Fodinicurvata fenggangensis,919,570967
Fodinicurvata sediminis,898,570952
Francisella noatunensis,219,1163389
Francisella philomiragia,220,484022
Francisella sp. FSC1006,193,1547445
Francisella sp. TX077308,239,573569
Francisella sp. W121067,273,1385420
Francisella tularensis holarctica,217,376619
Francisella tularensis novicida,240,676032
Francisella tularensis SCHUS4,199,177416
Frankia alni,755,326424
Frankia sp. BCU110501,1735,365528
Frankia sp. BMG512,1608,222534
Frankia sp. CcI3,566,106370
Frankia sp. CN3,2555,298655
Frankia sp. EAN1pec,1816,298653
Frankia sp. EuI1c,1764,298654
Frankia sp. Iso899,40,1283283
Frankia sp. QA3,1926,710111
Frankia symbiont,653,656024
Frateuria aurantia,368,767434
Fulvimarina pelagi,775,314231
Fusobacterium gonidiaformans,63,469615
Fusobacterium hwasookii,353,1216362
Fusobacterium mortiferum,354,469616
Fusobacterium necrophorum D12,66,556263
Fusobacterium necrophorum funduliforme,65,1095747
Fusobacterium nucleatum animalis,180,457405
Fusobacterium nucleatum ATCC25586,202,190304
Fusobacterium nucleatum polymorphum,96,393480
Fusobacterium nucleatum vincentii 3136A2,163,469604
Fusobacterium nucleatum vincentii 4113,74,469606
Fusobacterium nucleatum W1481,86,1408287
Fusobacterium perfoetens,160,1408439
Fusobacterium periodonticum,159,546275
Fusobacterium russii,60,1278306
Fusobacterium sp. F0437,114,861452
Fusobacterium ulcerans,462,469617
Fusobacterium varium,192,469618
Gallaecimonas xiamenensis,1089,745411
Gallibacterium anatis,312,1005058
Gallibacterium genomosp.,317,155515
Gallionella capsiferriformans,496,395494
Gammaproteobacteria bacterium BDW918,1223,1168065
Gammaproteobacteria bacterium HdN1,705,83406
Gammaproteobacteria bacterium HIMB30,128,751994
Gammaproteobacteria bacterium HIMB55,568,745014
Gammaproteobacteria bacterium HTCC2080,808,247639
Gammaproteobacteria bacterium HTCC2143,963,247633
Gammaproteobacteria bacterium HTCC2148,617,247634
Gammaproteobacteria bacterium HTCC2207,520,314287
Gammaproteobacteria bacterium HTCC5015,200,391615
Gammaproteobacteria bacterium IMCC3088,588,876044
Gammaproteobacteria bacterium MFB021,833,1492922
Gammaproteobacteria bacterium MOLA455,489,1411685
Gammaproteobacteria bacterium NOR53,816,566466
Gammaproteobacteria bacterium WG36,1255,1229485
Gardnerella vaginalis 101,49,904144
Gardnerella vaginalis 6119V5,76,698961
Gayadomonas joobiniege,830,1046714
Geitlerinema sp. PCC7407,546,1173025
Geminicoccus roseus,1346,1089551
Geminocystis herdmanii,946,113355
Gemmobacter nectariphilus,902,1121271
Geobacter bemidjiensis,1037,404380
Geobacter daltonii,976,316067
Geobacter lovleyi,937,398767
Geobacter metallireducens,897,269799
Geobacter sp. M18,1115,443143
Geobacter sp. M21,865,443144
Geobacter sulfurreducens,831,243231
Geodermatophilaceae bacterium URHA0031,1339,1380393
Geodermatophilaceae bacterium URHB0048,1179,1380347
Geodermatophilus obscurus,595,526225
Geopsychrobacter electrodiphilus,1042,1121918
Geothrix fermentans,693,1121920
Geovibrio sp. L21AceBES,515,1304888
Gilliamella apicola,381,1196095
Gilvimarinus chinensis,955,1121921
Glaciecola arctica,1276,493475
Glaciecola lipolytica,1044,1127673
Glaciecola mesophila,1008,1128912
Glaciecola nitratireducens,720,1085623
Glaciecola psychrophila,903,1129794
Glaciecola punicea,459,1121923
Glaciecola sp. 4H37YE5,775,983545
Glaciecola sp. HTCC2999,367,455436
Glaciibacter superstes,929,1121924
Gloeobacter kilaueensis,379,1183438
Gloeocapsa sp. PCC73106,1000,102232
Gloeocapsa sp. PCC7428,612,1173026
Glomeribacter gigasporarum,81,1070319
Gluconacetobacter diazotrophicus,423,272568
Gluconobacter frateurii,480,1307834
Gluconobacter morbifer,361,1088869
Gluconobacter oxydans 621H,237,290633
Gluconobacter oxydans H24,369,1224746
Glycomyces arizonensis,584,1121926
Glycomyces sp. NRRLB16210,873,1463821
Gordonia aichiensis,724,1220583
Gordonia alkanivorans,1331,1027371
Gordonia amarae,1404,1075090
Gordonia amicalis,1205,1386969
Gordonia bronchialis,770,526226
Gordonia effusa,983,1077974
Gordonia hirsuta,829,1121927
Gordonia kroppenstedtii,828,468556
Gordonia malaquae,1108,1223542
Gordonia neofelifaecis,955,644548
Gordonia paraffinivorans,1222,1223543
Gordonia polyisoprenivorans,1318,1112204
Gordonia rhizosphera,1577,1108045
Gordonia shandongensis,773,1121928
Gordonia sihwensis,933,1223544
Gordonia soli,1132,1223545
Gordonia sp. KTR9,1378,337191
Gordonia sputi,1094,1089453
Gordonia terrae,1544,2055
Granulibacter bethesdensis,324,391165
Granulicella mallensis,449,682795
Granulicella tundricola,315,1198114
Granulicoccus phenolivorans,766,1121933
Grimontia hollisae,652,675812
Grimontia indica,1366,1056512
Gryllotalpicola ginsengisoli,334,1121372
Gulosibacter molinativorax,510,1121934
Haematobacter massiliensis,904,195105
Haemophilus ducreyi,203,233412
Haemophilus haemolyticus M19501,254,1028803
Haemophilus haemolyticus M21621,254,1028805
Haemophilus haemolyticus M21639,296,1028806
Haemophilus influenzae,262,71421
Haemophilus parainfluenzae,329,862965
Haemophilus paraphrohaemolyticus,293,1095743
Haemophilus somnus,248,205914
Haemophilus sp. FF7,328,1461579
Haemophilus sputorum,345,1035839
Hafnia alvei,718,1453496
Hahella chejuensis,1427,349521
Hahella ganghwensis,1278,1121935
Haliangium ochraceum,1577,502025
Haliea rubra,598,1265313
Haliea salexigens,857,1121937
Haloferula sp. BvORR071,1153,1396141
Haloglycomyces albus,629,1089549
Halomonas alkaliantarctica,1007,232346
Halomonas anticariensis,1369,1121939
Halomonas elongata,533,768066
Halomonas halocynthiae,641,1121940
Halomonas jeotgali,293,1238190
Halomonas lutea,1091,1121943
Halomonas salina,652,42565
Halomonas sp. 23GOM1509m,163,1380358
Halomonas sp. BJGMMB45,574,1178482
Halomonas sp. GFAJ1,948,1118153
Halomonas sp. HL48,841,1479235
Halomonas sp. PBN3,804,1397528
Halomonas sp. TD01,1067,999141
Halomonas sp. TG39a,1367,1415755
Halomonas xinjiangensis,959,1166948
Halomonas zhanjiangensis,989,574966
Halorhodospira halophila,393,349124
Halothece sp. PCC7418,441,65093
Halothiobacillus neapolitanus,342,555778
Halyomorpha halys,141,1235990
Hamadaea tsunoensis,1861,1121946
Hamiltonella defensa,197,572265
Helicobacter acinonychis,158,382638
Helicobacter bilis,168,613026
Helicobacter bizzozeronii,161,1002804
Helicobacter canadensis,115,537970
Helicobacter canis,125,1357399
Helicobacter cetorum MIT007128,171,182217
Helicobacter cetorum MIT995656,165,1163745
Helicobacter cinaedi CCUG18818,215,537971
Helicobacter cinaedi PAGU611,196,1172562
Helicobacter felis,158,936155
Helicobacter fennelliae,118,1325130
Helicobacter hepaticus,217,235279
Helicobacter macacae,117,1357400
Helicobacter mustelae,180,679897
Helicobacter pametensis,98,1408442
Helicobacter pullorum,122,537972
Helicobacter pylori 26695,173,85962
Helicobacter pylori J99,171,85963
Helicobacter pylori SA213A,112,1345592
Helicobacter pylori SouthAfrica7,169,907239
Helicobacter rodentium,137,1449345
Helicobacter sp. MIT016451,101,425400
Helicobacter sp. MIT115569,115,1548151
Helicobacter suis,108,710393
Helicobacter trogontum,113,50960
Helicobacter winghamensis,107,556267
Hellea balneolensis,464,1121948
Henriciella marina,647,1121949
Hepatobacter penaei,65,1274402
Herbaspirillum frisingense,1734,864073
Herbaspirillum massiliense,890,1095769
Herbaspirillum seropedicae,1035,757424
Herbaspirillum sp. CF444,1810,1144319
Herbaspirillum sp. GW103,1583,1175306
Herbaspirillum sp. YR522,1493,1144342
Herbidospora cretacea,2245,28444
Herminiimonas arsenicoxydans,441,204773
Hippea alviniae,115,944480
Hippea jasoniae,225,944479
Hippea maritima,216,760142
Hippea sp. KM1,206,944481
Hirschia baltica,293,582402
Hirschia maritima,563,551275
Hoeflea phototrophica,885,411684
Hoeflea sp. 108,913,1116369
Hoeflea sp. BAL378,1275,1547437
Holophaga foetida,1025,903818
Holospora obtusa,42,1399147
Humibacter albus,594,1121952
Hylemonella gracilis ATCC19624,925,887062
Hylemonella gracilis Niagara,959,1458275
Hyphomicrobium denitrificans 1NES1,433,670307
Hyphomicrobium denitrificans ATCC51888,413,582899
Hyphomicrobium sp. MC1,578,717785
Hyphomicrobium zavarzinii,1023,1267005
Hyphomonas adhaerens,955,1280949
Hyphomonas jannaschiana,817,1280952
Hyphomonas johnsonii,748,1280950
Hyphomonas neptunium,471,228405
Hyphomonas oceanitis,611,1280953
Hyphomonas polymorpha,928,1280954
Hyphomonas sp. 22II122F38,652,1280948
Hyphomonas sp. 25B141,917,1280946
Hyphomonas sp. BHBN044,633,1280947
Hyphomonas sp. CY54118,733,1280944
Hyphomonas sp. L53140,543,1207058
Hyphomonas sp. T16B2,493,1280941
Idiomarina loihiensis,315,283942
Idiomarina salinarum,276,435908
Idiomarina sp. A28L,386,1036674
Idiomarina sp. MCCC1A10513,303,1517416
Idiomarina xiamenensis,570,740709
Ignatzschineria larvae,348,1111732
Ignavibacterium album,495,945713
Ilumatobacter coccineus,890,1313172
Ilyobacter polytropus,179,572544
Intrasporangiaceae bacterium URHB0013,939,1380370
Intrasporangium calvum,459,710696
Intrasporangium oryzae,976,1386089
Isoptericola variabilis,356,743718
Janibacter hoylei,524,1210046
Janibacter sp. HTCC2649,829,313589
Jannaschia sp. CCS1,514,290400
Janthinobacterium agaricidamnosum,1099,1349767
Janthinobacterium lividum,1155,29581
Janthinobacterium sp. HH01,2045,1198452
Janthinobacterium sp. Marseille,593,375286
Jonesia denitrificans,259,471856
Jonesia quinghaiensis,364,1122130
Kaistia granuli,1042,1122132
Kamptonema formosum,1378,402777
Kangiella aquimarina,440,1122134
Kangiella koreensis,287,523791
Ketogulonicigenium vulgare,345,759362
Kiloniella laminariae,1214,1122135
Kineococcus radiotolerans,485,266940
Kineosphaera limosa,1065,1184609
Kineosporia aurantiaca,2166,1306174
Kinetoplastibacterium blastocrithidii,127,1208923
Kinetoplastibacterium crithidii,118,1208918
Kinetoplastibacterium desouzaii,112,1208919
Kinetoplastibacterium galatii,125,1208921
Kinetoplastibacterium oncopeltii,99,1208920
Kingella kingae,207,887327
Kitasatospora arboriphila,1364,258052
Kitasatospora azatica,1883,1449346
Kitasatospora cheerisanensis,2125,1348663
Kitasatospora mediocidica,1657,1449347
Kitasatospora setae,1072,452652
Klebsiella oxytoca,888,571
Klebsiella pneumoniae,805,573
Kluyvera ascorbata,1239,1006000
Knoellia aerolata,755,1385519
Knoellia flava,631,1385518
Knoellia sinensis,785,1385520
Knoellia subterranea,316,1385521
Kocuria marina,342,223184
Kocuria polaris,482,136273
Kocuria rhizophila DC2201,299,378753
Kocuria rhizophila P74,67,1029824
Komagataeibacter medellinensis,339,634177
Komagataeibacter rhaeticus,574,1432055
Komagataeibacter xylinus,295,1296990
Kordiimonas gwangyangensis,882,1122137
Koribacter versatilis,913,204669
Kozakia baliensis,192,153496
Kribbella catacumbae,1889,1122138
Kribbella flavida,814,479435
Kushneria aurantia,803,1122139
Kutzneria albida,1653,1449976
Kutzneria sp. 744,2637,345341
Kytococcus sedentarius,189,478801
Labrenzia aggregata,947,384765
Laribacter hongkongensis,390,557598
Lautropia mirabilis,415,887898
Lawsonia intracellularis,167,363253
Lebetimonas sp. JS170,147,990073
Lechevalieria aerocolonigenes,3322,68170
Leclercia adecarboxylata,728,911008
Legionella anisa,822,1230343
Legionella drancourtii,723,658187
Legionella fairfieldensis,377,1408444
Legionella lansingensis,443,1122164
Legionella longbeachae,353,661367
Legionella massiliensis,744,1034943
Legionella moravica,807,1122165
Legionella oakridgensis,309,1268635
Legionella pneumophila Paris,298,297246
Legionella pneumophila Philadelphia,287,272624
Legionella sainthelensi,434,1408445
Legionella shakespearei,538,1122169
Leifsonia aquatica,832,1416759
Leifsonia rubra,285,1348338
Leifsonia sp. 109,717,1150399
Leifsonia xyli CTCB07,178,281090
Leifsonia xyli cynodontis,223,1389489
Leisingera aquimarina,1118,999611
Leisingera caerulea,964,999549
Leisingera daeponensis,1035,999547
Leisingera sp. ANG1,1180,1002340
Leminorella grimontii,813,1005999
Leptolyngbya boryana,1681,272134
Leptolyngbya sp. Heron,1760,1385935
Leptolyngbya sp. JSC1,1225,1487953
Leptolyngbya sp. KIOST1,1351,1229172
Leptolyngbya sp. PCC6406,1092,1173264
Leptolyngbya sp. PCC7375,1675,102129
Leptolyngbya sp. PCC7376,531,111781
Leptothrix cholodnii,937,395495
Leptotrichia buccalis,202,523794
Leptotrichia goodfellowii,118,596323
Leptotrichia hofstadii,370,634994
Leptotrichia shahii,167,1122172
Leptotrichia sp. F0557,112,1227268
Leptotrichia sp. F0581,126,1321774
Leptotrichia sp. W9775,156,1321779
Leptotrichia trevisanii,277,1122173
Leptotrichia wadei,112,888055
Leucobacter chironomi,260,1122175
Leucobacter chromiiresistens,320,714083
Leucobacter salsicius,263,1238186
Leucobacter sp. PH1c,380,1397278
Leucothrix mucor,1259,998674
Liberibacter americanus,112,1261131
Liberibacter asiaticus gxpsy,126,1174529
Liberibacter asiaticus psy62,124,537021
Liberibacter crescens,167,1215343
Liberibacter solanacearum,136,658172
Limnohabitans sp. Rim28,459,1100720
Limnohabitans sp. Rim47,433,1100721
Loktanella cinnabarina,894,1337093
Loktanella hongkongensis,332,1122180
Loktanella vestfoldensis SKA53,350,314232
Longispora albida,1582,1122182
Lonsdalea quercina,740,1082705
Luminiphilus syltensis,592,565045
Luteibacter sp. 9135,1077,1500893
Luteibacter sp. 9143,1160,1500890
Luteimonas huabeiensis,875,1442599
Luteimonas sp. J29,685,935863
Lutibaculum baratangense,948,631454
Lyngbya sp. PCC8106,1483,313612
Lysinimicrobium mangrovi,490,1043493
Lysobacter antibioticus,361,84531
Lysobacter arseniciresistens,503,913325
Lysobacter concretionis,450,1122185
Lysobacter daejeonensis,510,1385517
Lysobacter defluvii,549,1385515
Lysobacter dokdonensis,596,1300345
Magnetococcus marinus,737,156889
Magnetospirillum gryphiswaldense,1108,1430440
Magnetospirillum sp. SO1,1560,1244869
Mangrovibacter sp. MFB070,1385,1224318
Mannheimia haemolytica BOVINE,334,669262
Mannheimia haemolytica M42548,376,1316932
Mannheimia succiniciproducens,339,221988
Mannheimia varigena USMARC1261,339,1432056
Mannheimia varigena USMARC1296,366,1433287
Maribius sp. MOLA401,738,1530186
Maricaulis maris,376,394221
Maricaulis sp. JL2009,652,1161401
Marichromatium purpuratum,398,765910
Marinimicrobium agarilyticum,959,1122194
Marinithermus hydrothermalis,236,869210
Marinobacter adhaerens,843,225937
Marinobacter algicola,1228,443152
Marinobacter daepoensis,1022,1122197
Marinobacter hydrocarbonoclasticus,740,351348
Marinobacter lipolyticus BF04CF4,687,1046724
Marinobacter lipolyticus SM19,985,1318628
Marinobacter nanhaiticus,1170,626887
Marinobacter santoriniensis,944,1288826
Marinobacter sp. ELB17,1032,270374
Marinobacter sp. ES1,609,1396858
Marinobacter sp. HL58,1145,1479237
Marinobacter sp. MCTG268,969,1415754
Marinobacterium litorale,1208,1122201
Marinobacterium sp. AK27,1274,1232683
Marinobacterium stanieri,1266,1042375
Marinomonas mediterranea,311,717774
Marinomonas posidonica,547,491952
Marinomonas sp. D104,959,1208321
Marinomonas sp. MWYL1,816,400668
Marinomonas ushuaiensis,856,1122207
Marinospirillum insulare,810,1122211
Marinospirillum minutulum,679,1122212
Mariprofundus ferrooxydans,372,314345
Maritimibacter alkaliphilus,887,314271
Marmoricola aequoreus,870,397278
Marmoricola sp. URHB0036,1166,1298863
Martelella mediterranea,678,1122214
Massilia consociata,1066,760117
Massilia sp. 9096,1490,1500894
Massilia sp. LC238,1471,1502852
Massilia timonae,1626,883126
Mastigocladopsis repens,1463,221288
Meganema perideroedes,527,1122218
Meiothermus cerbereus,527,1122221
Meiothermus chliarophilus,1036,926560
Meiothermus ruber,359,504728
Meiothermus rufus,462,604331
Meiothermus silvanus,419,526227
Meiothermus taiwanensis,515,1122222
Meiothermus timidus,586,1122223
Melioribacter roseus,499,1191523
Mesorhizobium amorphae,1006,1082933
Mesorhizobium australicum,828,754035
Mesorhizobium ciceri biovar,819,765698
Mesorhizobium loti CJ3sym,1789,1040982
Mesorhizobium loti R88b,1883,935548
Mesorhizobium loti USDA3471,1804,1040983
Mesorhizobium metallidurans,1544,1297569
Mesorhizobium opportunistum,838,536019
Mesorhizobium sp. L2C084A000,1697,1287116
Mesorhizobium sp. LNJC398B00,1408,1287276
Mesorhizobium sp. NBIMCP2C3,1246,1320556
Mesorhizobium sp. STM4661,1675,1297570
Mesorhizobium sp. URHA0056,1573,1298858
Mesorhizobium sp. URHC0008,326,1380350
Mesorhizobium sp. WSM3224,1750,1040986
Mesorhizobium sp. WSM3626,1652,1040987
Metascardovia criceti,65,1122228
Methylacidiphilum fumariolicum,160,1156937
Methylacidiphilum infernorum,270,481448
Methylibium petroleiphilum,724,420662
Methylobacillus flagellatus,364,265072
Methylobacillus glycogenes,927,1236959
Methylobacter tundripaludum,1157,697282
Methylobacterium extorquens AM1,873,272630
Methylobacterium extorquens PA1,831,419610
Methylobacterium nodulans,441,460265
Methylobacterium oryzae,1117,693986
Methylobacterium populi,941,441620
Methylobacterium radiotolerans,1204,426355
Methylobacterium sp. 10,1056,1101191
Methylobacterium sp. 446,1046,426117
Methylobacterium sp. 77,952,1101192
Methylobacterium sp. 88A,1029,1131813
Methylobacterium sp. GXF4,1528,1096546
Methylobacterium sp. MB200,1276,648885
Methylocapsa acidiphila,631,395964
Methylocapsa aurea,766,663610
Methylocella silvestris,560,395965
Methylococcus capsulatus,400,243233
Methylocystis parvus,856,1134912
Methylocystis sp. ATCC49242,737,622637
Methylocystis sp. SB2,638,743836
Methylocystis sp. SC2,367,187303
Methyloferula stellata,1017,876269
Methyloglobulus morosus,911,1116472
Methylohalobius crimeensis,762,1283300
Methylomicrobium album,785,686340
Methylomonas methanica,675,857087
Methylophaga aminisulfidivorans,890,1026882
Methylophaga frappieri,353,754477
Methylophaga lonarensis,680,1286106
Methylophaga nitratireducenticrescens,392,754476
Methylophilaceae bacterium 11,609,1101195
Methylophilus methylotrophus,568,1122236
Methylophilus sp. 5,577,1112274
Methylophilus sp. OH31,676,1387312
Methylopila sp. 73B,1013,1120792
Methylopila sp. M107,876,1101190
Methylosinus sp. LW3,132,107635
Methylosinus sp. LW4,1110,136993
Methylosinus sp. PW1,994,107636
Methylosinus trichosporium,701,595536
Methylotenera mobilis 13,641,1132855
Methylotenera mobilis JLW8,337,583345
Methylotenera sp. 73s,482,1165096
Methylotenera sp. L2L1,616,1502770
Methylotenera versatilis,400,666681
Methyloversatilis universalis FAM5,1335,1000565
Methylovorus glucosetrophus,356,582744
Micavibrio aeruginosavorus ARL13,167,856793
Microbacterium gubbeenense,313,1122237
Microbacterium indicum,399,1122238
Microbacterium luticocti,377,1122239
Microbacterium oleivorans,331,273677
Microbacterium paraoxydans 77MFTsu32,634,1151126
Microbacterium paraoxydans DH1b,593,1416752
Microbacterium profundi,498,450380
Microbacterium sp. 292MF,708,1151122
Microbacterium sp. C448,588,1177594
Microbacterium sp. CrK20,478,1452536
Microbacterium sp. CrK32,643,1452535
Microbacterium sp. KROCY2,347,1305732
Microbacterium sp. MRS1,373,1451261
Microbacterium sp. UNCCL10,447,1449058
Microbacterium sp. URHA0036,656,1298860
Microbacterium testaceum,464,979556
Microbacterium yannicii,648,1194165
Microbulbifer agarilyticus,316,1042377
Microbulbifer sp. HZ11,834,1453501
Microbulbifer variabilis,805,1279017
Microchaete sp. PCC7126,1180,643473
Micrococcus luteus NCTC 2665,162,465515
Microcoleus sp. PCC7113,937,1173027
Microcoleus vaginatus,1069,756067
Microcystis aeruginosa,343,449447
Microlunatus phosphovorus,547,1032480
Micromonospora aurantiaca,897,644283
Micromonospora chokoriensis,1445,356851
Micromonospora lupini,1742,1150864
Micromonospora parva,1570,1464048
Micromonospora sp. ATCC39149,1548,219305
Microtetraspora glauca,2056,1996
Microthrix parvicella,727,1229780
Microvirga aerilata,598,670292
Microvirga flocculans,898,1336243
Microvirga lotononidis,1598,864069
Microvirga lupini,2514,420324
Mobilicoccus pelagius,556,1089455
Mobiluncus curtisii ATCC35241,283,585198
Mobiluncus curtisii ATCC43063,256,548479
Mobiluncus mulieris 281,375,596328
Mobiluncus mulieris ATCC35243,339,585199
Modestobacter marinus,656,477641
Moorea producens,1674,489825
Moranella endobia,103,903503
Moraxella boevrei,349,1122243
Moraxella bovoculi,262,743974
Moraxella caprae,258,1122244
