1265310.CCBD010000081_gene5083,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,98.9
1265310.CCBD010000017_gene3923,CCBD010000017_gene3923,annotation&nbsp;not&nbsp;available,88.2
1265310.CCBD010000044_gene705,CCBD010000044_gene705,annotation&nbsp;not&nbsp;available,88.2
1265310.CCBD010000044_gene651,CCBD010000044_gene651,annotation&nbsp;not&nbsp;available,88.2
1265310.CCBD010000089_gene4462,CCBD010000089_gene4462,annotation&nbsp;not&nbsp;available,88.1
1265310.CCBD010000024_gene1834,CCBD010000024_gene1834,annotation&nbsp;not&nbsp;available,88.1
1265310.CCBD010000014_gene3774,CCBD010000014_gene3774,annotation&nbsp;not&nbsp;available,88.1
1265310.CCBD010000003_gene4819,CCBD010000003_gene4819,annotation&nbsp;not&nbsp;available,88.1
1265310.CCBD010000015_gene3629,CCBD010000015_gene3629,annotation&nbsp;not&nbsp;available,88.0
1265310.CCBD010000007_gene3141,CCBD010000007_gene3141,annotation&nbsp;not&nbsp;available,88.0
1265310.CCBD010000077_gene5311,CCBD010000077_gene5311,annotation&nbsp;not&nbsp;available,88.0
1265310.CCBD010000082_gene4914,CCBD010000082_gene4914,annotation&nbsp;not&nbsp;available,88.0
1265310.CCBD010000086_gene4637,CCBD010000086_gene4637,annotation&nbsp;not&nbsp;available,88.0
1265310.CCBD010000065_gene905,CCBD010000065_gene905,annotation&nbsp;not&nbsp;available,88.0
1265310.CCBD010000021_gene4203,recA,Protein&nbsp;RecA,87.9
1265310.CCBD010000077_gene5314,CCBD010000077_gene5314,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000019_gene4035,CCBD010000019_gene4035,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000008_gene2760,CCBD010000008_gene2760,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000015_gene3514,CCBD010000015_gene3514,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000015_gene3526,CCBD010000015_gene3526,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000048_gene385,CCBD010000048_gene385,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000018_gene4149,gatC,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;C,87.9
1265310.CCBD010000082_gene4974,CCBD010000082_gene4974,annotation&nbsp;not&nbsp;available,87.9
1265310.CCBD010000070_gene226,CCBD010000070_gene226,annotation&nbsp;not&nbsp;available,87.8
1265310.CCBD010000095_gene4340,CCBD010000095_gene4340,annotation&nbsp;not&nbsp;available,87.8
1265310.CCBD010000007_gene2967,CCBD010000007_gene2967,annotation&nbsp;not&nbsp;available,87.8
1265310.CCBD010000044_gene645,CCBD010000044_gene645,annotation&nbsp;not&nbsp;available,87.8
1265310.CCBD010000068_gene505,CCBD010000068_gene505,annotation&nbsp;not&nbsp;available,87.8
1265310.CCBD010000019_gene4046,rpsP,annotation&nbsp;not&nbsp;available,87.7
1265310.CCBD010000006_gene2907,CCBD010000006_gene2907,annotation&nbsp;not&nbsp;available,87.7
1265310.CCBD010000030_gene1656,CCBD010000030_gene1656,annotation&nbsp;not&nbsp;available,87.7
1265310.CCBD010000014_gene3778,CCBD010000014_gene3778,annotation&nbsp;not&nbsp;available,87.7
1265310.CCBD010000075_gene5556,speE,Polyamine&nbsp;aminopropyltransferase,87.7
1265310.CCBD010000047_gene2540,CCBD010000047_gene2540,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000064_gene988,CCBD010000064_gene988,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000058_gene1365,CCBD010000058_gene1365,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000092_gene4774,CCBD010000092_gene4774,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000015_gene3456,CCBD010000015_gene3456,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000086_gene4639,CCBD010000086_gene4639,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000077_gene5411,CCBD010000077_gene5411,annotation&nbsp;not&nbsp;available,87.6
1265310.CCBD010000077_gene5414,CCBD010000077_gene5414,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000033_gene1802,CCBD010000033_gene1802,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000006_gene2913,CCBD010000006_gene2913,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000019_gene4000,CCBD010000019_gene4000,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000081_gene5124,CCBD010000081_gene5124,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000013_gene3338,CCBD010000013_gene3338,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000031_gene1722,CCBD010000031_gene1722,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000019_gene4083,CCBD010000019_gene4083,annotation&nbsp;not&nbsp;available,87.5
1265310.CCBD010000077_gene5413,CCBD010000077_gene5413,annotation&nbsp;not&nbsp;available,87.4
1265310.CCBD010000047_gene2581,CCBD010000047_gene2581,annotation&nbsp;not&nbsp;available,87.4
1265310.CCBD010000007_gene3045,CCBD010000007_gene3045,annotation&nbsp;not&nbsp;available,87.4
1265310.CCBD010000019_gene4044,CCBD010000019_gene4044,annotation&nbsp;not&nbsp;available,87.4
1265310.CCBD010000020_gene4255,CCBD010000020_gene4255,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000070_gene125,CCBD010000070_gene125,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000008_gene2754,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,87.3
1265310.CCBD010000030_gene1619,CCBD010000030_gene1619,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000021_gene4194,CCBD010000021_gene4194,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000043_gene2208,CCBD010000043_gene2208,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000008_gene2715,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',87.3
1265310.CCBD010000012_gene3303,CCBD010000012_gene3303,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000017_gene3918,CCBD010000017_gene3918,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000058_gene1386,CCBD010000058_gene1386,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000015_gene3606,CCBD010000015_gene3606,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000016_gene3946,CCBD010000016_gene3946,annotation&nbsp;not&nbsp;available,87.3
1265310.CCBD010000007_gene3260,recD,RecBCD&nbsp;enzyme&nbsp;subunit&nbsp;RecD,87.2
1265310.CCBD010000061_gene1153,CCBD010000061_gene1153,annotation&nbsp;not&nbsp;available,87.2
1265310.CCBD010000019_gene3973,ilvC,Ketol-acid&nbsp;reductoisomerase&nbsp;(NADP(+)),87.2
1265310.CCBD010000051_gene2118,CCBD010000051_gene2118,annotation&nbsp;not&nbsp;available,87.2
1265310.CCBD010000090_gene4793,CCBD010000090_gene4793,annotation&nbsp;not&nbsp;available,87.2
1265310.CCBD010000019_gene3972,CCBD010000019_gene3972,annotation&nbsp;not&nbsp;available,87.2
1265310.CCBD010000007_gene3087,CCBD010000007_gene3087,annotation&nbsp;not&nbsp;available,87.2
1265310.CCBD010000084_gene4443,CCBD010000084_gene4443,annotation&nbsp;not&nbsp;available,87.1
1265310.CCBD010000064_gene980,CCBD010000064_gene980,"6-phosphogluconate&nbsp;dehydrogenase,&nbsp;decarboxylating",87.1
1265310.CCBD010000047_gene2599,CCBD010000047_gene2599,annotation&nbsp;not&nbsp;available,87.1
1265310.CCBD010000021_gene4162,CCBD010000021_gene4162,annotation&nbsp;not&nbsp;available,87.1
1265310.CCBD010000081_gene5125,CCBD010000081_gene5125,annotation&nbsp;not&nbsp;available,87.1
1265310.CCBD010000055_gene1412,CCBD010000055_gene1412,annotation&nbsp;not&nbsp;available,87.0
1265310.CCBD010000081_gene5080,CCBD010000081_gene5080,annotation&nbsp;not&nbsp;available,87.0
1265310.CCBD010000008_gene2752,rpsS,30S&nbsp;ribosomal&nbsp;protein&nbsp;S19,87.0
1265310.CCBD010000014_gene3838,CCBD010000014_gene3838,annotation&nbsp;not&nbsp;available,87.0
1265310.CCBD010000064_gene1083,CCBD010000064_gene1083,annotation&nbsp;not&nbsp;available,87.0
1265310.CCBD010000038_gene2343,CCBD010000038_gene2343,annotation&nbsp;not&nbsp;available,87.0
1265310.CCBD010000008_gene2770,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,87.0
1265310.CCBD010000086_gene4689,CCBD010000086_gene4689,annotation&nbsp;not&nbsp;available,86.9
1265310.CCBD010000051_gene2132,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine&nbsp;ligase,86.9
1265310.CCBD010000007_gene3002,fgd,F420-dependent&nbsp;glucose-6-phosphate&nbsp;dehydrogenase,86.9
1265310.CCBD010000079_gene5211,CCBD010000079_gene5211,annotation&nbsp;not&nbsp;available,86.9
1265310.CCBD010000015_gene3551,CCBD010000015_gene3551,annotation&nbsp;not&nbsp;available,86.9
1265310.CCBD010000017_gene3896,CCBD010000017_gene3896,annotation&nbsp;not&nbsp;available,86.9
1265310.CCBD010000015_gene3719,CCBD010000015_gene3719,annotation&nbsp;not&nbsp;available,86.9
1265310.CCBD010000093_gene4742,CCBD010000093_gene4742,annotation&nbsp;not&nbsp;available,86.9
1265310.CCBD010000068_gene504,CCBD010000068_gene504,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000014_gene3844,CCBD010000014_gene3844,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000019_gene4121,proS,Proline--tRNA&nbsp;ligase,86.8
1265310.CCBD010000087_gene4555,CCBD010000087_gene4555,Phosphate-binding&nbsp;protein&nbsp;PstS,86.8
1265310.CCBD010000082_gene4946,CCBD010000082_gene4946,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000031_gene1701,CCBD010000031_gene1701,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000038_gene2356,CCBD010000038_gene2356,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000030_gene1584,aroB,3-dehydroquinate&nbsp;synthase,86.8
1265310.CCBD010000039_gene2315,CCBD010000039_gene2315,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000044_gene693,CCBD010000044_gene693,annotation&nbsp;not&nbsp;available,86.8
1265310.CCBD010000044_gene667,CCBD010000044_gene667,annotation&nbsp;not&nbsp;available,86.7
1265310.CCBD010000070_gene256,rpsF,30S&nbsp;ribosomal&nbsp;protein&nbsp;S6,86.7
1265310.CCBD010000007_gene3196,CCBD010000007_gene3196,annotation&nbsp;not&nbsp;available,86.7
1265310.CCBD010000007_gene3248,CCBD010000007_gene3248,annotation&nbsp;not&nbsp;available,86.7
1265310.CCBD010000086_gene4611,CCBD010000086_gene4611,annotation&nbsp;not&nbsp;available,86.7
1265310.CCBD010000064_gene1063,CCBD010000064_gene1063,annotation&nbsp;not&nbsp;available,86.6
1265310.CCBD010000079_gene5224,CCBD010000079_gene5224,annotation&nbsp;not&nbsp;available,86.6
1265310.CCBD010000077_gene5307,CCBD010000077_gene5307,annotation&nbsp;not&nbsp;available,86.6
1265310.CCBD010000088_gene4493,CCBD010000088_gene4493,annotation&nbsp;not&nbsp;available,86.5
1265310.CCBD010000015_gene3700,CCBD010000015_gene3700,annotation&nbsp;not&nbsp;available,86.5
1265310.CCBD010000008_gene2821,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,86.5
1265310.CCBD010000068_gene550,CCBD010000068_gene550,annotation&nbsp;not&nbsp;available,86.5
1265310.CCBD010000088_gene4496,CCBD010000088_gene4496,annotation&nbsp;not&nbsp;available,86.5
1265310.CCBD010000031_gene1738,CCBD010000031_gene1738,annotation&nbsp;not&nbsp;available,86.4
1265310.CCBD010000021_gene4224,CCBD010000021_gene4224,annotation&nbsp;not&nbsp;available,86.4
1265310.CCBD010000082_gene4908,CCBD010000082_gene4908,annotation&nbsp;not&nbsp;available,86.4
1265310.CCBD010000038_gene2328,CCBD010000038_gene2328,annotation&nbsp;not&nbsp;available,86.4
1265310.CCBD010000047_gene2521,CCBD010000047_gene2521,annotation&nbsp;not&nbsp;available,86.4
1265310.CCBD010000019_gene3988,CCBD010000019_gene3988,DNA-binding&nbsp;protein,86.4
1265310.CCBD010000055_gene1431,CCBD010000055_gene1431,annotation&nbsp;not&nbsp;available,86.3
1265310.CCBD010000007_gene3243,CCBD010000007_gene3243,annotation&nbsp;not&nbsp;available,86.3
1265310.CCBD010000008_gene2819,infA,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,86.3
1265310.CCBD010000070_gene150,CCBD010000070_gene150,annotation&nbsp;not&nbsp;available,86.3
1265310.CCBD010000070_gene16,CCBD010000070_gene16,annotation&nbsp;not&nbsp;available,86.3
1265310.CCBD010000050_gene1939,CCBD010000050_gene1939,annotation&nbsp;not&nbsp;available,86.3
1265310.CCBD010000055_gene1422,CCBD010000055_gene1422,annotation&nbsp;not&nbsp;available,86.2
1265310.CCBD010000008_gene2725,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,86.2
1265310.CCBD010000016_gene3967,CCBD010000016_gene3967,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,86.2
1265310.CCBD010000038_gene2353,CCBD010000038_gene2353,annotation&nbsp;not&nbsp;available,86.2
1265310.CCBD010000003_gene4815,CCBD010000003_gene4815,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000033_gene1809,CCBD010000033_gene1809,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000014_gene3765,CCBD010000014_gene3765,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000007_gene2953,CCBD010000007_gene2953,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000003_gene4822,CCBD010000003_gene4822,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000070_gene220,CCBD010000070_gene220,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000009_gene2876,CCBD010000009_gene2876,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000007_gene3110,CCBD010000007_gene3110,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000005_gene2700,CCBD010000005_gene2700,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000096_gene4360,ispH,4-hydroxy-3-methylbut-2-enyl&nbsp;diphosphate&nbsp;reductase,86.1
1265310.CCBD010000077_gene5425,CCBD010000077_gene5425,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000050_gene1936,CCBD010000050_gene1936,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000063_gene1170,CCBD010000063_gene1170,annotation&nbsp;not&nbsp;available,86.1
1265310.CCBD010000043_gene2215,CCBD010000043_gene2215,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000021_gene4166,CCBD010000021_gene4166,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000044_gene736,CCBD010000044_gene736,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000086_gene4654,CCBD010000086_gene4654,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000015_gene3460,CCBD010000015_gene3460,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000051_gene2149,CCBD010000051_gene2149,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000019_gene4017,CCBD010000019_gene4017,annotation&nbsp;not&nbsp;available,86.0
1265310.CCBD010000013_gene3323,CCBD010000013_gene3323,annotation&nbsp;not&nbsp;available,85.9
1265310.CCBD010000050_gene2006,CCBD010000050_gene2006,annotation&nbsp;not&nbsp;available,85.9
1265310.CCBD010000015_gene3586,CCBD010000015_gene3586,annotation&nbsp;not&nbsp;available,85.9
1265310.CCBD010000010_gene3356,CCBD010000010_gene3356,annotation&nbsp;not&nbsp;available,85.9
1265310.CCBD010000045_gene880,CCBD010000045_gene880,annotation&nbsp;not&nbsp;available,85.9
1265310.CCBD010000015_gene3546,CCBD010000015_gene3546,annotation&nbsp;not&nbsp;available,85.8
1265310.CCBD010000062_gene1222,CCBD010000062_gene1222,annotation&nbsp;not&nbsp;available,85.8
1265310.CCBD010000058_gene1392,CCBD010000058_gene1392,annotation&nbsp;not&nbsp;available,85.8
1265310.CCBD010000029_gene1546,CCBD010000029_gene1546,annotation&nbsp;not&nbsp;available,85.8
1265310.CCBD010000088_gene4481,CCBD010000088_gene4481,annotation&nbsp;not&nbsp;available,85.8
1265310.CCBD010000077_gene5375,CCBD010000077_gene5375,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000013_gene3329,CCBD010000013_gene3329,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000031_gene1747,CCBD010000031_gene1747,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000030_gene1585,aroQ,3-dehydroquinate&nbsp;dehydratase,85.7
1265310.CCBD010000007_gene3116,CCBD010000007_gene3116,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000031_gene1778,CCBD010000031_gene1778,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000072_gene346,CCBD010000072_gene346,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000017_gene3925,CCBD010000017_gene3925,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000043_gene2174,CCBD010000043_gene2174,annotation&nbsp;not&nbsp;available,85.7
1265310.CCBD010000070_gene235,CCBD010000070_gene235,annotation&nbsp;not&nbsp;available,85.6
1265310.CCBD010000048_gene349,CCBD010000048_gene349,annotation&nbsp;not&nbsp;available,85.6
1265310.CCBD010000087_gene4529,CCBD010000087_gene4529,annotation&nbsp;not&nbsp;available,85.6
1265310.CCBD010000068_gene546,CCBD010000068_gene546,annotation&nbsp;not&nbsp;available,85.6
1265310.CCBD010000064_gene1101,CCBD010000064_gene1101,annotation&nbsp;not&nbsp;available,85.5
1265310.CCBD010000089_gene4456,CCBD010000089_gene4456,annotation&nbsp;not&nbsp;available,85.5
1265310.CCBD010000077_gene5445,CCBD010000077_gene5445,annotation&nbsp;not&nbsp;available,85.5
1265310.CCBD010000047_gene2595,CCBD010000047_gene2595,annotation&nbsp;not&nbsp;available,85.5
1265310.CCBD010000081_gene5063,CCBD010000081_gene5063,annotation&nbsp;not&nbsp;available,85.5
1265310.CCBD010000015_gene3535,CCBD010000015_gene3535,annotation&nbsp;not&nbsp;available,85.4
1265310.CCBD010000069_gene501,CCBD010000069_gene501,annotation&nbsp;not&nbsp;available,85.4
1265310.CCBD010000015_gene3690,CCBD010000015_gene3690,annotation&nbsp;not&nbsp;available,85.4
1265310.CCBD010000077_gene5417,CCBD010000077_gene5417,annotation&nbsp;not&nbsp;available,85.4
1265310.CCBD010000046_gene2413,rsfS,Ribosomal&nbsp;silencing&nbsp;factor&nbsp;RsfS,85.3
1265310.CCBD010000086_gene4605,CCBD010000086_gene4605,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000064_gene1061,CCBD010000064_gene1061,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000015_gene3712,CCBD010000015_gene3712,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000031_gene1735,CCBD010000031_gene1735,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000007_gene3034,CCBD010000007_gene3034,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000064_gene1009,CCBD010000064_gene1009,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000048_gene388,CCBD010000048_gene388,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000021_gene4204,recX,Regulatory&nbsp;protein&nbsp;RecX,85.3
1265310.CCBD010000035_gene2067,CCBD010000035_gene2067,annotation&nbsp;not&nbsp;available,85.3
1265310.CCBD010000079_gene5205,CCBD010000079_gene5205,annotation&nbsp;not&nbsp;available,85.2
1265310.CCBD010000021_gene4169,dapB,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,85.2
1265310.CCBD010000046_gene2415,CCBD010000046_gene2415,annotation&nbsp;not&nbsp;available,85.2
1265310.CCBD010000014_gene3764,CCBD010000014_gene3764,annotation&nbsp;not&nbsp;available,85.2
1265310.CCBD010000051_gene2161,CCBD010000051_gene2161,annotation&nbsp;not&nbsp;available,85.1
1265310.CCBD010000070_gene273,leuS,annotation&nbsp;not&nbsp;available,85.1
1265310.CCBD010000048_gene375,htpG,Chaperone&nbsp;protein&nbsp;HtpG,85.1
1265310.CCBD010000069_gene473,CCBD010000069_gene473,annotation&nbsp;not&nbsp;available,85.1
1265310.CCBD010000045_gene862,CCBD010000045_gene862,annotation&nbsp;not&nbsp;available,85.1
1265310.CCBD010000070_gene114,CCBD010000070_gene114,Catalase-related&nbsp;peroxidase,85.1
1265310.CCBD010000024_gene1861,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,85.1
1265310.CCBD010000087_gene4553,CCBD010000087_gene4553,annotation&nbsp;not&nbsp;available,85.0
1265310.CCBD010000039_gene2293,CCBD010000039_gene2293,annotation&nbsp;not&nbsp;available,85.0
1265310.CCBD010000065_gene910,CCBD010000065_gene910,annotation&nbsp;not&nbsp;available,85.0
1265310.CCBD010000031_gene1770,CCBD010000031_gene1770,annotation&nbsp;not&nbsp;available,85.0
1265310.CCBD010000033_gene1799,CCBD010000033_gene1799,annotation&nbsp;not&nbsp;available,84.9
1265310.CCBD010000051_gene2156,CCBD010000051_gene2156,annotation&nbsp;not&nbsp;available,84.9
1265310.CCBD010000086_gene4694,CCBD010000086_gene4694,annotation&nbsp;not&nbsp;available,84.9
1265310.CCBD010000082_gene4945,CCBD010000082_gene4945,annotation&nbsp;not&nbsp;available,84.9
1265310.CCBD010000027_gene1538,secF,Protein-export&nbsp;membrane&nbsp;protein&nbsp;SecF,84.8
1265310.CCBD010000009_gene2867,CCBD010000009_gene2867,annotation&nbsp;not&nbsp;available,84.8
1265310.CCBD010000007_gene3057,CCBD010000007_gene3057,annotation&nbsp;not&nbsp;available,84.8
1265310.CCBD010000007_gene2963,CCBD010000007_gene2963,annotation&nbsp;not&nbsp;available,84.8
1265310.CCBD010000059_gene1313,CCBD010000059_gene1313,annotation&nbsp;not&nbsp;available,84.8
1265310.CCBD010000079_gene5228,CCBD010000079_gene5228,annotation&nbsp;not&nbsp;available,84.7
1265310.CCBD010000079_gene5258,CCBD010000079_gene5258,annotation&nbsp;not&nbsp;available,84.7
1265310.CCBD010000010_gene3409,CCBD010000010_gene3409,annotation&nbsp;not&nbsp;available,84.6
1265310.CCBD010000070_gene251,CCBD010000070_gene251,annotation&nbsp;not&nbsp;available,84.6
1265310.CCBD010000055_gene1443,CCBD010000055_gene1443,annotation&nbsp;not&nbsp;available,84.5
1265310.CCBD010000019_gene3992,CCBD010000019_gene3992,annotation&nbsp;not&nbsp;available,84.5
1265310.CCBD010000024_gene1836,CCBD010000024_gene1836,annotation&nbsp;not&nbsp;available,84.5
1265310.CCBD010000044_gene673,CCBD010000044_gene673,annotation&nbsp;not&nbsp;available,84.5
1265310.CCBD010000015_gene3461,CCBD010000015_gene3461,annotation&nbsp;not&nbsp;available,84.5
1265310.CCBD010000008_gene2721,CCBD010000008_gene2721,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000086_gene4673,CCBD010000086_gene4673,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000082_gene4968,CCBD010000082_gene4968,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000019_gene4056,CCBD010000019_gene4056,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000070_gene59,CCBD010000070_gene59,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000077_gene5456,CCBD010000077_gene5456,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000020_gene4244,CCBD010000020_gene4244,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000070_gene260,CCBD010000070_gene260,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000077_gene5334,CCBD010000077_gene5334,annotation&nbsp;not&nbsp;available,84.4
1265310.CCBD010000008_gene2728,tuf,Elongation&nbsp;factor&nbsp;Tu,84.4
1265310.CCBD010000046_gene2449,CCBD010000046_gene2449,annotation&nbsp;not&nbsp;available,84.3
1265310.CCBD010000045_gene883,obg,GTPase&nbsp;Obg,84.3
1265310.CCBD010000007_gene3089,CCBD010000007_gene3089,annotation&nbsp;not&nbsp;available,84.3
1265310.CCBD010000095_gene4327,CCBD010000095_gene4327,annotation&nbsp;not&nbsp;available,84.2
1265310.CCBD010000054_gene1476,CCBD010000054_gene1476,annotation&nbsp;not&nbsp;available,84.2
1265310.CCBD010000079_gene5242,CCBD010000079_gene5242,annotation&nbsp;not&nbsp;available,84.2
1265310.CCBD010000075_gene5591,CCBD010000075_gene5591,annotation&nbsp;not&nbsp;available,84.2
1265310.CCBD010000062_gene1206,CCBD010000062_gene1206,annotation&nbsp;not&nbsp;available,84.2
1265310.CCBD010000069_gene451,CCBD010000069_gene451,annotation&nbsp;not&nbsp;available,84.1
1265310.CCBD010000051_gene2133,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,84.1
1265310.CCBD010000008_gene2776,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,84.1
1265310.CCBD010000087_gene4526,CCBD010000087_gene4526,annotation&nbsp;not&nbsp;available,84.1
1265310.CCBD010000077_gene5468,CCBD010000077_gene5468,annotation&nbsp;not&nbsp;available,84.1
1265310.CCBD010000064_gene998,CCBD010000064_gene998,annotation&nbsp;not&nbsp;available,84.0
1265310.CCBD010000015_gene3506,CCBD010000015_gene3506,annotation&nbsp;not&nbsp;available,84.0
1265310.CCBD010000007_gene3131,CCBD010000007_gene3131,annotation&nbsp;not&nbsp;available,84.0
1265310.CCBD010000062_gene1212,CCBD010000062_gene1212,annotation&nbsp;not&nbsp;available,84.0
1265310.CCBD010000047_gene2594,CCBD010000047_gene2594,annotation&nbsp;not&nbsp;available,84.0
1265310.CCBD010000015_gene3665,CCBD010000015_gene3665,annotation&nbsp;not&nbsp;available,83.9
1265310.CCBD010000077_gene5290,tadA,tRNA-specific&nbsp;adenosine&nbsp;deaminase,83.9
1265310.CCBD010000086_gene4666,CCBD010000086_gene4666,annotation&nbsp;not&nbsp;available,83.9
1265310.CCBD010000081_gene5112,CCBD010000081_gene5112,annotation&nbsp;not&nbsp;available,83.8
1265310.CCBD010000050_gene2001,CCBD010000050_gene2001,annotation&nbsp;not&nbsp;available,83.8
1265310.CCBD010000019_gene4006,CCBD010000019_gene4006,annotation&nbsp;not&nbsp;available,83.8
1265310.CCBD010000057_gene1266,CCBD010000057_gene1266,annotation&nbsp;not&nbsp;available,83.7
1265310.CCBD010000059_gene1319,CCBD010000059_gene1319,annotation&nbsp;not&nbsp;available,83.7
1265310.CCBD010000031_gene1668,CCBD010000031_gene1668,annotation&nbsp;not&nbsp;available,83.7
1265310.CCBD010000039_gene2292,CCBD010000039_gene2292,annotation&nbsp;not&nbsp;available,83.7
1265310.CCBD010000015_gene3444,CCBD010000015_gene3444,annotation&nbsp;not&nbsp;available,83.7
1265310.CCBD010000044_gene660,CCBD010000044_gene660,dITP/XTP&nbsp;pyrophosphatase,83.7
1265310.CCBD010000086_gene4574,CCBD010000086_gene4574,annotation&nbsp;not&nbsp;available,83.7
1265310.CCBD010000051_gene2151,pyrD,Dihydroorotate&nbsp;dehydrogenase&nbsp;(quinone),83.6
1265310.CCBD010000007_gene2986,metZ,O-succinylhomoserine&nbsp;sulfhydrylase,83.6
