1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000009_gene912,AZRU01000009_gene912,annotation&nbsp;not&nbsp;available,91.3
1437882.AZRU01000008_gene2862,AZRU01000008_gene2862,annotation&nbsp;not&nbsp;available,91.3
1437882.AZRU01000161_gene4993,AZRU01000161_gene4993,annotation&nbsp;not&nbsp;available,91.3
1437882.AZRU01000083_gene6835,AZRU01000083_gene6835,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000005_gene1342,AZRU01000005_gene1342,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000008_gene2897,AZRU01000008_gene2897,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000019_gene6032,hemE,Uroporphyrinogen&nbsp;decarboxylase,91.2
1437882.AZRU01000044_gene6610,AZRU01000044_gene6610,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000101_gene4464,AZRU01000101_gene4464,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000003_gene1771,AZRU01000003_gene1771,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000007_gene3006,AZRU01000007_gene3006,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000059_gene4145,AZRU01000059_gene4145,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000073_gene4350,AZRU01000073_gene4350,annotation&nbsp;not&nbsp;available,91.2
1437882.AZRU01000098_gene1102,AZRU01000098_gene1102,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000061_gene4050,AZRU01000061_gene4050,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000010_gene595,AZRU01000010_gene595,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000160_gene4990,AZRU01000160_gene4990,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000017_gene6393,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine&nbsp;synthase,91.1
1437882.AZRU01000002_gene2380,AZRU01000002_gene2380,Alkanesulfonate&nbsp;monooxygenase,91.1
1437882.AZRU01000048_gene5191,AZRU01000048_gene5191,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000155_gene4340,AZRU01000155_gene4340,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000047_gene5066,AZRU01000047_gene5066,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000037_gene4384,ftsH,ATP-dependent&nbsp;zinc&nbsp;metalloprotease&nbsp;FtsH,91.1
1437882.AZRU01000062_gene1202,AZRU01000062_gene1202,annotation&nbsp;not&nbsp;available,91.1
1437882.AZRU01000211_gene2496,AZRU01000211_gene2496,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000100_gene4296,rplF,50S&nbsp;ribosomal&nbsp;protein&nbsp;L6,91.0
1437882.AZRU01000001_gene1995,AZRU01000001_gene1995,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000051_gene5347,motC,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000019_gene6092,AZRU01000019_gene6092,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000171_gene1181,AZRU01000171_gene1181,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000126_gene5404,gltX,Glutamate--tRNA&nbsp;ligase,91.0
1437882.AZRU01000001_gene2038,AZRU01000001_gene2038,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000064_gene7074,AZRU01000064_gene7074,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000092_gene1284,AZRU01000092_gene1284,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000150_gene3864,AZRU01000150_gene3864,annotation&nbsp;not&nbsp;available,91.0
1437882.AZRU01000027_gene801,AZRU01000027_gene801,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000039_gene4607,AZRU01000039_gene4607,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000012_gene3470,AZRU01000012_gene3470,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000054_gene3708,AZRU01000054_gene3708,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000008_gene2898,AZRU01000008_gene2898,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000010_gene549,tolQ,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000015_gene3358,AZRU01000015_gene3358,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000063_gene669,AZRU01000063_gene669,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000003_gene1673,AZRU01000003_gene1673,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000007_gene3069,AZRU01000007_gene3069,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000011_gene3648,AZRU01000011_gene3648,annotation&nbsp;not&nbsp;available,90.9
1437882.AZRU01000109_gene3101,AZRU01000109_gene3101,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000048_gene5200,AZRU01000048_gene5200,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000005_gene1319,AZRU01000005_gene1319,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000002_gene2427,AZRU01000002_gene2427,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000123_gene4901,AZRU01000123_gene4901,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000001_gene2202,arcC,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000033_gene485,AZRU01000033_gene485,annotation&nbsp;not&nbsp;available,90.8
1437882.AZRU01000082_gene6813,polA,DNA&nbsp;polymerase&nbsp;I,90.7
1437882.AZRU01000109_gene3115,AZRU01000109_gene3115,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000044_gene6636,AZRU01000044_gene6636,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000005_gene1403,AZRU01000005_gene1403,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000018_gene6486,AZRU01000018_gene6486,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000078_gene4022,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,90.7
1437882.AZRU01000082_gene6815,AZRU01000082_gene6815,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000017_gene6428,ribA,GTP&nbsp;cyclohydrolase-2,90.7
1437882.AZRU01000031_gene42,AZRU01000031_gene42,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000004_gene1801,AZRU01000004_gene1801,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000001_gene2094,AZRU01000001_gene2094,annotation&nbsp;not&nbsp;available,90.7
1437882.AZRU01000021_gene6190,AZRU01000021_gene6190,Pyruvate&nbsp;dehydrogenase&nbsp;E1&nbsp;component,90.6
1437882.AZRU01000211_gene2656,AZRU01000211_gene2656,annotation&nbsp;not&nbsp;available,90.6
1437882.AZRU01000056_gene3790,recQ,annotation&nbsp;not&nbsp;available,90.6
1437882.AZRU01000211_gene2543,AZRU01000211_gene2543,annotation&nbsp;not&nbsp;available,90.6
1437882.AZRU01000001_gene1993,recG,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecG,90.6
1437882.AZRU01000052_gene3815,AZRU01000052_gene3815,annotation&nbsp;not&nbsp;available,90.6
1437882.AZRU01000028_gene761,AZRU01000028_gene761,annotation&nbsp;not&nbsp;available,90.6
1437882.AZRU01000045_gene4799,AZRU01000045_gene4799,annotation&nbsp;not&nbsp;available,90.6
1437882.AZRU01000003_gene1723,AZRU01000003_gene1723,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000049_gene5251,AZRU01000049_gene5251,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000049_gene5243,AZRU01000049_gene5243,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000003_gene1667,AZRU01000003_gene1667,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000057_gene4201,AZRU01000057_gene4201,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000118_gene4257,AZRU01000118_gene4257,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000006_gene1465,AZRU01000006_gene1465,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000062_gene1207,AZRU01000062_gene1207,annotation&nbsp;not&nbsp;available,90.5
1437882.AZRU01000007_gene3052,AZRU01000007_gene3052,annotation&nbsp;not&nbsp;available,90.4
1437882.AZRU01000028_gene772,AZRU01000028_gene772,annotation&nbsp;not&nbsp;available,90.4
1437882.AZRU01000020_gene6176,AZRU01000020_gene6176,annotation&nbsp;not&nbsp;available,90.4
1437882.AZRU01000027_gene799,AZRU01000027_gene799,annotation&nbsp;not&nbsp;available,90.4
1437882.AZRU01000113_gene4980,AZRU01000113_gene4980,annotation&nbsp;not&nbsp;available,90.4
1437882.AZRU01000012_gene3502,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,90.4
1437882.AZRU01000008_gene2886,AZRU01000008_gene2886,annotation&nbsp;not&nbsp;available,90.3
1437882.AZRU01000069_gene2787,AZRU01000069_gene2787,annotation&nbsp;not&nbsp;available,90.3
1437882.AZRU01000097_gene1095,pheA,annotation&nbsp;not&nbsp;available,90.3
1437882.AZRU01000005_gene1338,AZRU01000005_gene1338,annotation&nbsp;not&nbsp;available,90.3
1437882.AZRU01000029_gene195,AZRU01000029_gene195,annotation&nbsp;not&nbsp;available,90.3
1437882.AZRU01000001_gene2161,AZRU01000001_gene2161,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000001_gene2115,AZRU01000001_gene2115,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000008_gene2864,AZRU01000008_gene2864,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000016_gene3281,AZRU01000016_gene3281,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000030_gene189,flhF,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000013_gene6924,AZRU01000013_gene6924,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000038_gene5481,AZRU01000038_gene5481,annotation&nbsp;not&nbsp;available,90.2
1437882.AZRU01000086_gene5512,rplS,50S&nbsp;ribosomal&nbsp;protein&nbsp;L19,90.1
1437882.AZRU01000046_gene5128,AZRU01000046_gene5128,annotation&nbsp;not&nbsp;available,90.1
1437882.AZRU01000060_gene4089,AZRU01000060_gene4089,Chemotaxis&nbsp;response&nbsp;regulator&nbsp;protein-glutamate&nbsp;methylesterase,90.1
1437882.AZRU01000025_gene5851,AZRU01000025_gene5851,annotation&nbsp;not&nbsp;available,90.1
1437882.AZRU01000005_gene1456,AZRU01000005_gene1456,annotation&nbsp;not&nbsp;available,90.1
1437882.AZRU01000046_gene5111,gcvH,Glycine&nbsp;cleavage&nbsp;system&nbsp;H&nbsp;protein,90.1
1437882.AZRU01000002_gene2381,msuE,annotation&nbsp;not&nbsp;available,90.1
1437882.AZRU01000036_gene258,AZRU01000036_gene258,annotation&nbsp;not&nbsp;available,90.1
1437882.AZRU01000001_gene2245,secB,Protein-export&nbsp;protein&nbsp;SecB,90.1
1437882.AZRU01000031_gene113,AZRU01000031_gene113,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000003_gene1678,pqqE,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000016_gene3264,fadE,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000003_gene1755,AZRU01000003_gene1755,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000055_gene3754,nirK,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000029_gene201,AZRU01000029_gene201,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000019_gene6047,AZRU01000019_gene6047,annotation&nbsp;not&nbsp;available,90.0
1437882.AZRU01000031_gene91,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,89.9
1437882.AZRU01000001_gene2081,AZRU01000001_gene2081,annotation&nbsp;not&nbsp;available,89.9
1437882.AZRU01000046_gene5131,AZRU01000046_gene5131,annotation&nbsp;not&nbsp;available,89.9
1437882.AZRU01000133_gene6716,rplB,50S&nbsp;ribosomal&nbsp;protein&nbsp;L2,89.9
1437882.AZRU01000088_gene5594,AZRU01000088_gene5594,annotation&nbsp;not&nbsp;available,89.9
1437882.AZRU01000025_gene5885,AZRU01000025_gene5885,annotation&nbsp;not&nbsp;available,89.9
1437882.AZRU01000031_gene94,glyS,annotation&nbsp;not&nbsp;available,89.9
1437882.AZRU01000021_gene6239,AZRU01000021_gene6239,annotation&nbsp;not&nbsp;available,89.9
1437882.AZRU01000026_gene5987,AZRU01000026_gene5987,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000004_gene1871,AZRU01000004_gene1871,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000043_gene4823,AZRU01000043_gene4823,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000048_gene5186,moaC,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000005_gene1377,AZRU01000005_gene1377,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000026_gene5954,AZRU01000026_gene5954,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000211_gene2658,AZRU01000211_gene2658,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000011_gene3575,AZRU01000011_gene3575,annotation&nbsp;not&nbsp;available,89.8
1437882.AZRU01000037_gene4415,AZRU01000037_gene4415,3-methyl-2-oxobutanoate&nbsp;hydroxymethyltransferase,89.7
1437882.AZRU01000008_gene2893,hyi,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000001_gene2037,AZRU01000001_gene2037,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000065_gene6861,AZRU01000065_gene6861,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000033_gene487,AZRU01000033_gene487,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000050_gene5303,AZRU01000050_gene5303,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000047_gene5096,AZRU01000047_gene5096,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000019_gene6083,AZRU01000019_gene6083,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000116_gene4306,AZRU01000116_gene4306,annotation&nbsp;not&nbsp;available,89.7
1437882.AZRU01000105_gene3423,AZRU01000105_gene3423,annotation&nbsp;not&nbsp;available,89.6
1437882.AZRU01000036_gene283,AZRU01000036_gene283,annotation&nbsp;not&nbsp;available,89.6
1437882.AZRU01000025_gene5904,AZRU01000025_gene5904,annotation&nbsp;not&nbsp;available,89.6
1437882.AZRU01000030_gene173,AZRU01000030_gene173,annotation&nbsp;not&nbsp;available,89.6
1437882.AZRU01000002_gene2398,AZRU01000002_gene2398,annotation&nbsp;not&nbsp;available,89.6
1437882.AZRU01000073_gene4351,AZRU01000073_gene4351,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000061_gene4051,AZRU01000061_gene4051,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000031_gene69,AZRU01000031_gene69,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000095_gene1241,AZRU01000095_gene1241,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000011_gene3604,AZRU01000011_gene3604,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000004_gene1968,AZRU01000004_gene1968,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000095_gene1242,AZRU01000095_gene1242,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000074_gene5576,AZRU01000074_gene5576,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000014_gene3132,AZRU01000014_gene3132,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000130_gene6807,fliR,Flagellar&nbsp;biosynthetic&nbsp;protein&nbsp;FliR,89.5
1437882.AZRU01000005_gene1400,AZRU01000005_gene1400,annotation&nbsp;not&nbsp;available,89.5
1437882.AZRU01000015_gene3416,AZRU01000015_gene3416,annotation&nbsp;not&nbsp;available,89.4
1437882.AZRU01000051_gene5401,AZRU01000051_gene5401,annotation&nbsp;not&nbsp;available,89.4
1437882.AZRU01000007_gene3098,clpB,Chaperone&nbsp;protein&nbsp;ClpB,89.4
1437882.AZRU01000037_gene4411,acsA,Acetyl-coenzyme&nbsp;A&nbsp;synthetase,89.4
1437882.AZRU01000018_gene6535,AZRU01000018_gene6535,annotation&nbsp;not&nbsp;available,89.4
1437882.AZRU01000019_gene6060,AZRU01000019_gene6060,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000001_gene1985,ubiA,4-hydroxybenzoate&nbsp;octaprenyltransferase,89.3
1437882.AZRU01000004_gene1823,AZRU01000004_gene1823,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000109_gene3113,AZRU01000109_gene3113,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000002_gene2260,AZRU01000002_gene2260,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000039_gene4628,AZRU01000039_gene4628,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000047_gene5058,AZRU01000047_gene5058,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000063_gene685,purH,annotation&nbsp;not&nbsp;available,89.3
1437882.AZRU01000139_gene1065,AZRU01000139_gene1065,annotation&nbsp;not&nbsp;available,89.2
1437882.AZRU01000082_gene6822,glmS,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],89.2
1437882.AZRU01000002_gene2386,pdxB,Erythronate-4-phosphate&nbsp;dehydrogenase,89.2
1437882.AZRU01000033_gene503,AZRU01000033_gene503,annotation&nbsp;not&nbsp;available,89.2
1437882.AZRU01000003_gene1685,AZRU01000003_gene1685,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000080_gene3980,trmB,tRNA&nbsp;(guanine-N(7)-)-methyltransferase,89.1
1437882.AZRU01000090_gene5547,AZRU01000090_gene5547,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000079_gene3954,AZRU01000079_gene3954,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000078_gene4025,AZRU01000078_gene4025,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000024_gene5810,efp,Elongation&nbsp;factor&nbsp;P,89.1
1437882.AZRU01000008_gene2852,AZRU01000008_gene2852,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000046_gene5134,AZRU01000046_gene5134,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000129_gene5213,AZRU01000129_gene5213,annotation&nbsp;not&nbsp;available,89.1
1437882.AZRU01000009_gene936,AZRU01000009_gene936,annotation&nbsp;not&nbsp;available,89.0
1437882.AZRU01000033_gene512,AZRU01000033_gene512,annotation&nbsp;not&nbsp;available,89.0
1437882.AZRU01000003_gene1725,AZRU01000003_gene1725,annotation&nbsp;not&nbsp;available,89.0
1437882.AZRU01000109_gene3114,AZRU01000109_gene3114,annotation&nbsp;not&nbsp;available,89.0
1437882.AZRU01000001_gene2242,gpmI,"2,3-bisphosphoglycerate-independent&nbsp;phosphoglycerate&nbsp;mutase",88.9
1437882.AZRU01000042_gene4553,AZRU01000042_gene4553,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000002_gene2272,AZRU01000002_gene2272,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000052_gene3860,rlmB,23S&nbsp;rRNA&nbsp;(guanosine-2'-O-)-methyltransferase&nbsp;RlmB,88.9
1437882.AZRU01000076_gene1156,AZRU01000076_gene1156,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000020_gene6142,AZRU01000020_gene6142,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000026_gene5992,mpl,"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate&nbsp;ligase",88.9
1437882.AZRU01000002_gene2261,AZRU01000002_gene2261,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000006_gene1569,hscA,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000008_gene2907,AZRU01000008_gene2907,annotation&nbsp;not&nbsp;available,88.9
1437882.AZRU01000001_gene2200,AZRU01000001_gene2200,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000051_gene5351,AZRU01000051_gene5351,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000050_gene5335,AZRU01000050_gene5335,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000009_gene915,AZRU01000009_gene915,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000004_gene1960,AZRU01000004_gene1960,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000060_gene4110,AZRU01000060_gene4110,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000005_gene1462,AZRU01000005_gene1462,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000002_gene2414,AZRU01000002_gene2414,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000003_gene1638,AZRU01000003_gene1638,annotation&nbsp;not&nbsp;available,88.8
1437882.AZRU01000052_gene3838,AZRU01000052_gene3838,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000090_gene5543,AZRU01000090_gene5543,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000016_gene3248,AZRU01000016_gene3248,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000002_gene2354,AZRU01000002_gene2354,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000004_gene1867,AZRU01000004_gene1867,Formyltetrahydrofolate&nbsp;deformylase,88.7
1437882.AZRU01000009_gene980,benD,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000002_gene2371,AZRU01000002_gene2371,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000017_gene6423,AZRU01000017_gene6423,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000007_gene3059,AZRU01000007_gene3059,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000025_gene5860,AZRU01000025_gene5860,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000049_gene5257,AZRU01000049_gene5257,annotation&nbsp;not&nbsp;available,88.7
1437882.AZRU01000016_gene3305,AZRU01000016_gene3305,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000211_gene2655,AZRU01000211_gene2655,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000019_gene6033,AZRU01000019_gene6033,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000117_gene4315,AZRU01000117_gene4315,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000085_gene6795,AZRU01000085_gene6795,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000017_gene6412,AZRU01000017_gene6412,Endolytic&nbsp;peptidoglycan&nbsp;transglycosylase&nbsp;RlpA,88.6
1437882.AZRU01000057_gene4230,cmoM,tRNA&nbsp;5-carboxymethoxyuridine&nbsp;methyltransferase,88.6
1437882.AZRU01000010_gene592,AZRU01000010_gene592,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000008_gene2884,AZRU01000008_gene2884,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000003_gene1618,AZRU01000003_gene1618,annotation&nbsp;not&nbsp;available,88.6
1437882.AZRU01000054_gene3696,ftsB,Cell&nbsp;division&nbsp;protein&nbsp;FtsB,88.6
1437882.AZRU01000086_gene5517,AZRU01000086_gene5517,annotation&nbsp;not&nbsp;available,88.5
1437882.AZRU01000046_gene5119,AZRU01000046_gene5119,annotation&nbsp;not&nbsp;available,88.5
1437882.AZRU01000008_gene2857,modA,annotation&nbsp;not&nbsp;available,88.5
1437882.AZRU01000087_gene5615,AZRU01000087_gene5615,annotation&nbsp;not&nbsp;available,88.5
1437882.AZRU01000019_gene6052,pgk,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000002_gene2265,AZRU01000002_gene2265,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000025_gene5868,AZRU01000025_gene5868,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000068_gene5023,AZRU01000068_gene5023,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000067_gene5424,AZRU01000067_gene5424,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000028_gene718,AZRU01000028_gene718,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000016_gene3286,AZRU01000016_gene3286,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000002_gene2396,AZRU01000002_gene2396,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000064_gene7044,AZRU01000064_gene7044,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000023_gene5677,AZRU01000023_gene5677,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000015_gene3408,AZRU01000015_gene3408,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000006_gene1472,AZRU01000006_gene1472,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000211_gene2472,recD,annotation&nbsp;not&nbsp;available,88.4
1437882.AZRU01000003_gene1683,AZRU01000003_gene1683,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000090_gene5550,AZRU01000090_gene5550,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000020_gene6167,AZRU01000020_gene6167,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000036_gene294,AZRU01000036_gene294,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000150_gene3866,AZRU01000150_gene3866,Cbb3-type&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit,88.3
1437882.AZRU01000004_gene1913,AZRU01000004_gene1913,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000057_gene4188,AZRU01000057_gene4188,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000034_gene422,cspD,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000014_gene3193,AZRU01000014_gene3193,annotation&nbsp;not&nbsp;available,88.3
1437882.AZRU01000016_gene3346,AZRU01000016_gene3346,annotation&nbsp;not&nbsp;available,88.2
1437882.AZRU01000064_gene7053,AZRU01000064_gene7053,annotation&nbsp;not&nbsp;available,88.2
1437882.AZRU01000044_gene6608,AZRU01000044_gene6608,annotation&nbsp;not&nbsp;available,88.2
1437882.AZRU01000045_gene4795,acnB,annotation&nbsp;not&nbsp;available,88.2
1437882.AZRU01000026_gene5978,AZRU01000026_gene5978,annotation&nbsp;not&nbsp;available,88.2
1437882.AZRU01000090_gene5544,msrB,annotation&nbsp;not&nbsp;available,88.2
1437882.AZRU01000015_gene3406,AZRU01000015_gene3406,annotation&nbsp;not&nbsp;available,88.1
1437882.AZRU01000089_gene7022,AZRU01000089_gene7022,annotation&nbsp;not&nbsp;available,88.1
1437882.AZRU01000012_gene3530,bioF,8-amino-7-oxononanoate&nbsp;synthase,88.1
1437882.AZRU01000041_gene4498,AZRU01000041_gene4498,annotation&nbsp;not&nbsp;available,88.1
1437882.AZRU01000077_gene3997,AZRU01000077_gene3997,annotation&nbsp;not&nbsp;available,88.1
1437882.AZRU01000092_gene1289,AZRU01000092_gene1289,annotation&nbsp;not&nbsp;available,88.1
1437882.AZRU01000019_gene6015,msrA,Peptide&nbsp;methionine&nbsp;sulfoxide&nbsp;reductase&nbsp;MsrA,88.1
1437882.AZRU01000057_gene4238,AZRU01000057_gene4238,annotation&nbsp;not&nbsp;available,88.1
1437882.AZRU01000016_gene3314,AZRU01000016_gene3314,annotation&nbsp;not&nbsp;available,88.1
